Product Status,Product ID ,Item Description ,Supplier Name ,Brand Name ,Sub Name  ,Product Description ,Container Name ,Size Description ,Extended Product Description,Product Class Description,On Hand  ,Sales Current ,Date Last Received,On Order
Restricted,21002,MUL SLZ SIGNVP 24/12,ANHEUSER-BUSCH,MICH SPECIALTY,MUL SLZ SIGNVP,24/12,24/12,,ULTRA SELTZER SIGNATURE VARIETY 24 PACK,BEER,0,0,20210716,0
Restricted,21003,MUL SLZ SIGNVP 4/6 CAN,ANHEUSER-BUSCH,MICH SPECIALTY,MUL SLZ SIGNVP,4/6 CAN,24/12,,ULTRA SELTZER SIGNATURE VARIETY 4/6 CAN,BEER,0,0,20210311,0
Active,21004,MUL SLZ SIGNVP 2/12 CAN,ANHEUSER-BUSCH,MICH SPECIALTY,MUL SLZ SIGNVP,2/12 CAN,24/12,,ULTRA SELTZER SIGNATURE 12 PACK CAN,BEER,651,18,20231016,990
Restricted,21020,MUL MIXBERRY 15/25 CAN,ANHEUSER-BUSCH,MICH SPECIALTY,MUL MIXBERRY,15/25 CAN,15/25,,ULTRA MIXED BERRY 25 OUNCE,BEER,0,0,20211012,0
Restricted,21021,MUL MIXBERRY 24/16 6/4 CAN,ANHEUSER-BUSCH,MICH SPECIALTY,MUL MIXBERRY,24/16 6/4 CAN,24/16,,MICHELOB ULTRA MIXED BERRY FOUR PACK 16 OUNCE,BEER,0,0,20210910,0
Active,21025,MUL SLZ CUCMBR 15/25 CAN,ANHEUSER-BUSCH,MICH SPECIALTY,MUL SLZ CUCMBR,15/25 CAN,15/25,,ULTRA SELTZER CUCUMBER 25 OUNCE,BEER,5,1,20230921,171
Restricted,21026,MUL SLZ CUCMBR 24/16 6/4 CAN,ANHEUSER-BUSCH,MICH SPECIALTY,MUL SLZ CUCMBR,24/16 6/4 CAN,24/16,,MICHELOB ULTRA SELTZER CUCUMBER LIME FOUR PACK CANS,BEER,0,0,20170413,0
Restricted,21032,MUL AFTERPARTY 24/12,ANHEUSER-BUSCH,MICH SPECIALTY,MUL AFTERPARTY,24/12,24/12,,MICHELOB ULTRA AFTER PARTY SUITCASE,BEER,0,0,20211213,0
Active,21037,MULS ESNTL VP3 2/12 CAN,ANHEUSER-BUSCH,MICH SPECIALTY,MULS ESNTL VP3,2/12 CAN,24/12,,ULTRA ORGANIC SELTZER ESSENTIALS TWELVE PACK CANS,BEER,1206,14,20231024,540
Active,22770,MICH AMBER 2/12 LNR,ANHEUSER-BUSCH,MICH SPECIALTY,MICH AMBER,2/12 LNR,24/12,,MICHELOB AMBER TWELVE PACK BOTTLE,BEER,232,10,20231107,0
Active,24211,MUL MNGO CHILI 15/25C,ANHEUSER-BUSCH,MICH SPECIALTY,MUL MNGO CHILI,15/25C,15/25,,MUL MANGO Y CHILE TWENTY FIVE OUNCE CANS,BEER,33,1,20231016,54
Active,24212,MUL MNGO CHILI 2/12C,ANHEUSER-BUSCH,MICH SPECIALTY,MUL MNGO CHILI,2/12C,24/12,,ULTRA MANGO CHILI TWELVE PACK CAN,BEER,136,2,20231018,36
Active,90908,MICH AMBER 1/6BBL,ANHEUSER-BUSCH,MICH SPECIALTY,MICH AMBER,1/6BBL,1/6 BBL,,MICHELOB AMBER SIXTH BARREL,BEER,44,0,20231108,132
Active,20336,MICH LT 2/12 LNR,ANHEUSER-BUSCH,MICHELOB,MICH LT,2/12 LNR,24/12,,MICK LIGHT TWELVE PACK BOTTLE,BEER,425,15,20231025,0
Restricted,20338,MICH LT 18/12 CAN,ANHEUSER-BUSCH,MICHELOB,MICH LT,18/12 CAN,18/12,,MICK LIGHT EIGHTEEN PACK CAN,BEER,0,0,20230315,360
Restricted,20348,MICH LT 18/12 LNNR,ANHEUSER-BUSCH,MICHELOB,MICH LT,18/12 LNNR,18/12,,MICK LIGHT EIGHTEEN PACK BOTTLE,BEER,0,0,20210615,0
Active,20803,ULTRA ULTRA 2/12 7.5,ANHEUSER-BUSCH,MICHELOB,ULTRA,ULTRA 2/12 7.5,24/7.5OZ,,ULTRA SEVEN AND A HALF OUNCE TWELVE PACK CAN,BEER,499,7,20231017,675
Restricted,20804,ULTRA 24/8 2/12 CAN,ANHEUSER-BUSCH,MICHELOB,ULTRA,24/8 2/12 CAN,24/8.0,,MICH ULTRA 12 PACK 8OZ CAN,BEER,0,0,20230227,0
Restricted,20805,ULTRA 24/12 CALNRWHT,ANHEUSER-BUSCH,MICHELOB,ULTRA,24/12 CALNRWHT,24/12,,ULTRA 24/12 WHITE,BEER,0,0,20200910,0
Active,20806,ULTRA 2/12 LNR,ANHEUSER-BUSCH,MICHELOB,ULTRA,2/12 LNR,24/12,,ULTRA TWELVE PACK BOTTLE,BEER,5976,337,20231108,0
Active,20809,ULTRA 4/6LNR,ANHEUSER-BUSCH,MICHELOB,ULTRA,4/6LNR,24/12,,ULTRA 6 PACK BOTTLE,BEER,2612,141,20231103,2455
Active,20810,ULTRA 24/16 3/8 CAN,ANHEUSER-BUSCH,MICHELOB,ULTRA,24/16 3/8 CAN,24/16,,ULTRA 8 PACK CANS,BEER,758,45,20231103,252
Active,20813,ULTRA CALNR 3/8,ANHEUSER-BUSCH,MICHELOB,ULTRA,CALNR 3/8,24/16,,ULTRA 3 8 ALUMINUM BOTTLE,BEER,591,27,20231106,1008
Active,20815,ULTRA 20/12OZ CALNR,ANHEUSER-BUSCH,MICHELOB,ULTRA,20/12OZ CALNR,20/12,,ULTRA 20 PACK ALUMINUM,BEER,0,0,20230531,1584
Active,20816,ULTRA 15/25TT,ANHEUSER-BUSCH,MICHELOB,ULTRA,15/25TT,15/25,,ULTRA TWENTY FIVE OUNCE CAN,BEER,1149,96,20231017,1098
Active,20824,ULTRA 2/12 TT,ANHEUSER-BUSCH,MICHELOB,ULTRA,2/12 TT,24/12,,ULTRA TWELVE PACK CAN,BEER,6008,306,20231103,3870
Active,20827,ULTRA CLIP,ANHEUSER-BUSCH,MICHELOB,ULTRA,CLIP,15/25,,ULTRA CLIP,BEER,1238,69,20231020,2952
Active,20838,ULTRA 18/12 CAN,ANHEUSER-BUSCH,MICHELOB,ULTRA,18/12 CAN,18/12,,ULTRA EIGHTEEN PACK CAN,BEER,9314,365,20231107,3120
Active,20842,ULTRA 24/12 SC,ANHEUSER-BUSCH,MICHELOB,ULTRA,24/12 SC,24/12,24/12,ULTRA SUITCASE,BEER,44159,1751,20231108,12150
Active,20848,ULTRA 18/12 LNNR,ANHEUSER-BUSCH,MICHELOB,ULTRA,18/12 LNNR,18/12,,ULTRA EIGHTEEN PACK BOTTLE,BEER,3373,309,20231031,7738
Active,20849,ULTRA 24/12 PREPRINT,ANHEUSER-BUSCH,MICHELOB,ULTRA,24/12 PREPRINT,24/12,,ULTRA TWENTY FOUR PACK BOTTLE,BEER,7060,404,20231106,0
Active,20852,ULTRA 2/12 CALNR,ANHEUSER-BUSCH,MICHELOB,ULTRA,2/12 CALNR,24/16,,ULTRA 2 TWELVE ALUMINUM BOTTLE,BEER,2639,365,20231108,6174
Active,91920,ULTRA 1/2BBL,ANHEUSER-BUSCH,MICHELOB,ULTRA,1/2BBL,1/2 BBL,,ULTRA HALF BARREL,BEER,309,18,20231108,452
Active,91928,ULTRA 1/6BBL,ANHEUSER-BUSCH,MICHELOB,ULTRA,1/6BBL,1/6 BBL,,ULTRA SIXTH BARREL,BEER,155,15,20231103,504
Active,50510,NAT LT 24/16 3/8TT,ANHEUSER-BUSCH,NATURAL,NAT LT,24/16 3/8TT,24/16,,NATURAL LIGHT  3 8 SIXTEEN OUNCE CAN,BEER,2455,120,20231101,1449
Active,50511,NAT LT 2/15 CAN,ANHEUSER-BUSCH,NATURAL,NAT LT,2/15 CAN,30/12,,NATURAL LIGHT 2 FIFTEEN CAN,BEER,13904,579,20231108,5772
Restricted,50525,NAT LT 6/4 16OZ CAN,ANHEUSER-BUSCH,NATURAL,NAT LT,6/4 16OZ CAN,24/16,,NATURAL LIGHT FOUR PACK SIXTEEN OUNCE CAN,BEER,0,0,20211013,0
Active,50526,NAT LT 15/25TT,ANHEUSER-BUSCH,NATURAL,NAT LT,15/25TT,15/25,,NATURAL LIGHT TWENTY FIVE OUNCE CAN,BEER,688,59,20231107,2160
Active,50527,NAT LT 15/25 CLIP,ANHEUSER-BUSCH,NATURAL,NAT LT,15/25 CLIP,15/25,,NATURAL LIGHT CLIP,BEER,499,18,20231024,504
Active,50528,NAT LT 18/12 LNNR,ANHEUSER-BUSCH,NATURAL,NAT LT,18/12 LNNR,18/12,,NATURAL LIGHT EIGHTEEN PACK LONGNECK,BEER,466,20,20231107,720
Active,50542,NAT LT SUITCASE,ANHEUSER-BUSCH,NATURAL,NAT LT,SUITCASE,24/12,,NATURAL LIGHT SUITCASE,BEER,12524,732,20231107,23324
Active,50544,NAT LT 2/12 LNR,ANHEUSER-BUSCH,NATURAL,NAT LT,2/12 LNR,24/12,,NATURAL LIGHT TWELVE PACK BOTTLE,BEER,101,14,20231026,504
Restricted,50546,NAT LT 4/6 STUBBY,ANHEUSER-BUSCH,NATURAL,NAT LT,4/6 STUBBY,24/12,,NATURAL LIGHT 6 PACK BOTTLE,BEER,0,0,20210108,0
Active,50561,NAT ICE 2/15 CAN,ANHEUSER-BUSCH,NATURAL,NAT ICE,2/15 CAN,30/12,,NATURAL ICE 2 FIFTEEN CAN,BEER,3382,194,20231107,4429
Restricted,50571,NAT ICE 40 OZ NR,ANHEUSER-BUSCH,NATURAL,NAT ICE,40 OZ NR,1940-12-01 00:00:00,,NATURAL ICE 40 OUNCE,BEER,0,0,20221201,0
Restricted,50576,NAT ICE 15/25TT,ANHEUSER-BUSCH,NATURAL,NAT ICE,15/25TT,15/25,,NATURAL ICE 25 OUNCE CANS,BEER,0,0,20210820,0
Restricted,50592,NAT ICE SUITCASE,ANHEUSER-BUSCH,NATURAL,NAT ICE,SUITCASE,24/12,,,BEER,0,0,20200629,0
Active,50911,NATTY DADDY 2/15 CAN,ANHEUSER-BUSCH,NATURAL,NATTY DADDY,2/15 CAN,30/12,,NATTY DADDY 2 FIFTEEN CAN,BEER,3028,179,20231103,1716
Active,50916,NATTY DADDY 15/25TT,ANHEUSER-BUSCH,NATURAL,NATTY DADDY,15/25TT,15/25,,NATTY DADDY TWENTY FIVE OUNCE,BEER,1248,59,20231107,288
Active,50952,NATURDAYS 24/12 CAN,ANHEUSER-BUSCH,NATURAL,NATURDAYS,24/12 CAN,24/12,,NATURDAYS SUITCASE,BEER,613,0,20231017,196
Active,50954,NATURDAYS 24/12 2/12 CAN,ANHEUSER-BUSCH,NATURAL,NATURDAYS,24/12 2/12 CAN,24/12,,NATURDAYS 2 TWELVE CAN,BEER,64,6,20230912,363
Restricted,50962,NATDAY PINEAPL 24/12 CAN,ANHEUSER-BUSCH,NATURAL,NATDAY PINEAPL,24/12 CAN,24/12,,NATURDAYS PINEAPPLE 24 PACK CAN,BEER,0,0,20211214,0
Restricted,50964,NATDAY PINEAPL 2/12 CAN,ANHEUSER-BUSCH,NATURAL,NATDAY PINEAPL,2/12 CAN,24/12,,NATURDAYS PINAPPLE TWELVE PACK CAN,BEER,0,0,20221101,0
Active,50965,NTDY WTRMLNLMN 24/12C,ANHEUSER-BUSCH,NATURAL,NTDY WTRMLNLMN,24/12C,24/12,,NATURDAYS WATERMELON LEMONADE SUITCASE,BEER,0,0,0,0
Restricted,50967,NATDAY BLBRLM 2/12 CAN,ANHEUSER-BUSCH,NATURAL,NATDAY BLBRLM,2/12 CAN,24/12,,NATURDAYS BLUEBERRY LEMONADS TWELVE PACK CANS,BEER,0,0,20220531,0
Restricted,50968,NATDAY BLBRLM SC,ANHEUSER-BUSCH,NATURAL,NATDAY BLBRLM,SC,24/12,,NATURDAYS BLUEBERRY LEMONADE SUITCASE,BEER,0,0,20220915,0
Active,90950,NAT LT 1/2BBL,ANHEUSER-BUSCH,NATURAL,NAT LT,1/2BBL,1/2 BBL,,NATURAL LIGHT HALF BARREL,BEER,1,0,20230913,0
Active,75700,NEON GRAPE 24/16 CAN,ANHEUSER-BUSCH,NEON BURST,NEON GRAPE,24/16 CAN,24/16,,NEON BURST GRAPE BLOWOUT SIXTEEN OUNCE CANS,BEER,0,0,20230208,119
Active,75701,NEON GRAPE 12/25OZ C,ANHEUSER-BUSCH,NEON BURST,NEON GRAPE,12/25OZ C,12/25OZ,,NEON BURST GRAPE BLOWOUT TWENTYFIVE OUNCE CAN,BEER,34,1,20220718,0
Active,75702,NEON PUNCH 24/16 CAN,ANHEUSER-BUSCH,NEON BURST,NEON PUNCH,24/16 CAN,24/16,,NEON BURST PUNCH BLAST SIXTEEN OUNCE CAN,BEER,45,2,20231030,217
Active,75703,NEON PUNCH 12/25OZC,ANHEUSER-BUSCH,NEON BURST,NEON PUNCH,12/25OZC,12/25OZ,,NEON BURST PUNCH BLAST TWENTY FIVE OUNCE CANS,BEER,0,0,20220726,0
Active,301000,12/750 NL VODKA LMNADE 12/750MLNL LEMONADE 750ML,ANHEUSER-BUSCH,NL VODKA,NL VODKA,LMNADE 12/750ML,,12/750,NL LEMONADE 750ML,SPIRITS,1011,-24,20220328,0
Active,301002,12/750 NL VODKA STRBRYLMN      NL STRWBERRY 750ML,ANHEUSER-BUSCH,NL VODKA,NL VODKA,STRBRYLMN,,12/750,NL STRWBERRY 750ML,SPIRITS,0,0,20220328,0
Active,301050,50ML   NL VODKA LEMONADE       NLV LEMONADE 50 ML,ANHEUSER-BUSCH,NL VODKA,NL VODKA,LEMONADE,120/50ML,50ML,NLV LEMONADE 50 ML,SPIRITS,26520,0,20220218,0
Restricted,301051,50ML   NL VODKA BLKCHRYLMNADE  NLV BLKCHRY 50 ML,ANHEUSER-BUSCH,NL VODKA,NL VODKA,BLKCHRYLMNADE,120/50ML,50ML,NLV BLKCHRY 50 ML,SPIRITS,0,0,20220720,0
Active,301052,50ML   NL VODKA STRBEY LMNADE  NLV STRAWBERRY 50ML,ANHEUSER-BUSCH,NL VODKA,NL VODKA,STRBEY LMNADE,120/50ML,50ML,NLV STRAWBERRY 50ML,SPIRITS,23040,360,20220216,0
Active,75760,NSHN FRUITPNCH 6/4C,ANHEUSER-BUSCH,NOONSHINE,NSHN FRUITPNCH,6/4C,24/16,,NOONSHINE FRUIT PUNCH FOUR PACK CANS,BEER,449,0,20230224,0
Active,75762,NSHN LEMONICE 6/4C,ANHEUSER-BUSCH,NOONSHINE,NSHN LEMONICE,6/4C,24/16,,NOONSHINE LEMON ICE FOUR PACK CANS,BEER,183,2,20230316,252
Active,1102,NUTRL PINEAPL 6/4 CA,ANHEUSER-BUSCH,NUTRL,NUTRL,PINEAPL 6/4 CA,24/12,,NUTRL VODKA SODA PINEAPPLE FOUR PACK CANS,SPIRITS,91,1,20231016,846
Active,1103,NUTRL VS WTRML6/4 CA,ANHEUSER-BUSCH,NUTRL,NUTRL,VS WTRML6/4 CA,24/12,,NUTRL WATERMELON 4 PACK,SPIRITS,80,1,20230920,907
Active,1104,NUTRL VS ORANG 6/4C,ANHEUSER-BUSCH,NUTRL,NUTRL,VS ORANG 6/4C,24/12,,NUTRL VODKA SODA ORANGE 6/4C,SPIRITS,72,1,20230630,23
Active,1106,NUTRL BLKCHERY 6/4C,ANHEUSER-BUSCH,NUTRL,NUTRL,BLKCHERY 6/4C,24/12,,NUTRL BLACK CHERRY,SPIRITS,49,1,20230912,450
Active,1120,NUTRL LMNADE 3/8CAN,ANHEUSER-BUSCH,NUTRL,NUTRL,LMNADE 3/8CAN,24/12,,NUTRL LEMONADE VARIETY THREE EIGHT PACK CANS,SPIRITS,84,1,20231102,1974
Active,1121,NUTRL FRUITVP 3/8CAN,ANHEUSER-BUSCH,NUTRL,NUTRL,FRUITVP 3/8CAN,24/12,,NUTRL VODKA SODA FRUIT VP THREE EIGHT PACK CANS,SPIRITS,223,2,20231026,3735
Active,1122,NUTRL CRNBRYVP3/8CAN,ANHEUSER-BUSCH,NUTRL,NUTRL,CRNBRYVP3/8CAN,24/12,,NUTRL VODKA SODA CRANBERRY VP THREE EIGHT PACK CANS,SPIRITS,80,1,20231025,504
Active,60553,ODOULS 2/12 CAN,ANHEUSER-BUSCH,ODOULS,ODOULS,2/12 CAN,24/12,,ODOULS 12 PACK CAN,BEER,275,15,20231016,10759
Active,60556,ODOULS 4/6 LN BTL,ANHEUSER-BUSCH,ODOULS,ODOULS,4/6 LN BTL,24/12,,ODOULS 6 PACK BOTTLE,BEER,103,5,20231107,0
Active,11402,PLAT SLZBLDORG 15/25C,ANHEUSER-BUSCH,PLATINUM SELTZER,PLAT SLZBLDORG,15/25C,15/25,,PLATINUM SELTZER BLOOD ORANGE 25OZ CNA,BEER,61,7,20231003,72
Restricted,11403,PLAT SLZWLDBRY 6/4 16OZ,ANHEUSER-BUSCH,PLATINUM SELTZER,PLAT SLZWLDBRY,6/4 16OZ,24/16,,PLATINUM SELTZER BERRY 16 OUNCE CANS,BEER,0,0,20230209,134
Active,11414,PLAT SLZ VP 4/6 CAN,ANHEUSER-BUSCH,PLATINUM SELTZER,PLAT SLZ VP,4/6 CAN,24/12,,PLATINUM SELTZER VARIETY 6 PACK,BEER,0,0,20221230,0
Active,11415,PLAT SLZ VP 2/12C,ANHEUSER-BUSCH,PLATINUM SELTZER,PLAT SLZ VP,2/12C,24/12,,PLATINUM SELTZER VARIETY TWELVE PACK CANS,BEER,230,5,20231102,90
Active,3200,PLOT & POINT CHARD12/16.9,ANHEUSER-BUSCH,PLOT & POINT,PLOT & POINT,CHARD12/16.9,12/16.9,,PLOT & POINT CHARD,WINE,59,1,20231030,20
Active,3201,PLOT & POINT PINGRIG 12/16.,ANHEUSER-BUSCH,PLOT & POINT,PLOT & POINT,PINGRIG 12/16.,12/16.9,,PLOT & POINT PINOT,WINE,44,1,20231030,80
Restricted,72248,RDHK LNGHMR 24/16 6/4TT,ANHEUSER-BUSCH,RED HOOK,RDHK LNGHMR,24/16 6/4TT,24/16,,LONGHAMMER IPA 16 OUNCE,BEER,0,0,20221014,42
Restricted,72546,RDHK VARIETY 12 PK CAN,ANHEUSER-BUSCH,RED HOOK,RDHK VARIETY,12 PK CAN,24/12,,REDHOOK  VARIETY 12 PACK CANS,BEER,0,0,20200528,0
Active,30609,ROLLING ROCK 18/12 CAN,ANHEUSER-BUSCH,ROLLING ROCK,ROLLING ROCK,18/12 CAN,18/12,,ROLLING ROCK 18 PACK CAN,BEER,1130,23,20231101,2370
Active,76241,SHKTP BELG WHT 2/15TT,ANHEUSER-BUSCH,SHOCK TOP,SHKTP BELG WHT,2/15TT,30/12,,SHOCK TOP BELGIAN WHITE 2/15 C,BEER,0,2,20231013,78
Active,76246,SHKTP BELG WHT 4/6 LN BTL,ANHEUSER-BUSCH,SHOCK TOP,SHKTP BELG WHT,4/6 LN BTL,24/12,,SHOCK TOP 6 PACK BOTTLE,BEER,36,5,20231003,0
Active,94920,SHKTP BELG WHT 1/2BBL,ANHEUSER-BUSCH,SHOCK TOP,SHKTP BELG WHT,1/2BBL,1/2 BBL,,,BEER,0,0,20230927,92
Restricted,64000,WW DR DANK 4/6 CAN,ANHEUSER-BUSCH,WICKED WEED,WW DR DANK,4/6 CAN,24/12,,WW DR DANK 6 PACK CAN,BEER,0,0,20221004,0
Active,64019,WW BA GRM CKE 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW BA GRM CKE,1/6BBL,1/6 BBL,,WICKED WEED BARREL AGED GERMAN CHOCOLATE CAKE SIXTH BBL,BEER,0,0,20211116,0
Restricted,64024,WW DAYLIGHT 24/12 2/12 CAN,ANHEUSER-BUSCH,WICKED WEED,WW DAYLIGHT,24/12 2/12 CAN,24/12,,WICKED WEED DAYLIGHT 2/12 CANS,BEER,0,0,20220804,0
Active,64040,WW PERNICIOUS 4/6 CAN,ANHEUSER-BUSCH,WICKED WEED,WW PERNICIOUS,4/6 CAN,24/12,,WW PERNICIOUS 6 PACK CAN,BEER,385,38,20231102,0
Active,64044,WW PERNICIOUS 2/12 CANS,ANHEUSER-BUSCH,WICKED WEED,WW PERNICIOUS,2/12 CANS,24/12,,WICKED WEED PERNICIOUS 12 PACK CANS,BEER,161,33,20231102,266
Active,64046,WW PERNICIOUS 24/16 CAN,ANHEUSER-BUSCH,WICKED WEED,WW PERNICIOUS,24/16 CAN,24/16,,WW PERNICIOUS 16 OUNCE CAN,BEER,56,15,20231030,441
Active,64047,WW PERNICIOUS 1/2BBL,ANHEUSER-BUSCH,WICKED WEED,WW PERNICIOUS,1/2BBL,1/2 BBL,,,BEER,11,1,20231102,96
Active,64049,WW PERNICIOUS 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW PERNICIOUS,1/6BBL,1/6 BBL,,,BEER,48,2,20231102,113
Active,64059,WW BA SMORES 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW BA SMORES,1/6BBL,1/6 BBL,,WW BARREL AGED SMORES SIXTH BARREL,BEER,0,0,20211116,0
Restricted,64067,WW HOP COCOA 1/2BBL,ANHEUSER-BUSCH,WICKED WEED,WW HOP COCOA,1/2BBL,1/2 BBL,,,BEER,0,0,20190928,0
Active,64069,WW HOP COCOA 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW HOP COCOA,1/6BBL,1/6 BBL,,,BEER,0,0,20201015,0
Active,64072,WW JACK FROST 4/6C,ANHEUSER-BUSCH,WICKED WEED,WW JACK FROST,4/6C,24/12,,WW JACK FROST SIX PACK CANS,BEER,94,13,20231102,63
Active,64073,WW JACK FROST 1/2BBL,ANHEUSER-BUSCH,WICKED WEED,WW JACK FROST,1/2BBL,1/2 BBL,,WW JACK FROST HALF BARREL,BEER,0,0,0,0
Active,64074,WW JACK FROST 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW JACK FROST,1/6BBL,1/6 BBL,,WW JACK FROST SIXTH BARREL,BEER,12,0,20231102,0
Active,64077,WW BA ESP CHCK 1/2BBL,ANHEUSER-BUSCH,WICKED WEED,WW BA ESP CHCK,1/2BBL,1/2 BBL,,,BEER,0,0,20190708,0
Active,64079,WW BA ESP CHCK 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW BA ESP CHCK,1/6BBL,1/6 BBL,,BARREL AGED EXPRESSO CHEESECAKE SIXTH BARREL,BEER,0,0,20221207,0
Restricted,64092,WW COASTLOVE 4/6 CAN,ANHEUSER-BUSCH,WICKED WEED,WW COASTLOVE,4/6 CAN,24/12,,WICKED WEED COASTAL LOVE 6 PACK CAN,BEER,0,0,20230906,0
Active,64094,WW COASTLOVE 2/12 CAN,ANHEUSER-BUSCH,WICKED WEED,WW COASTLOVE,2/12 CAN,24/12,,WICKED WEED COASTAL LOVE TWELVE PACK CANS,BEER,0,0,20230901,7
Restricted,64097,WW COASTLOVE 1/2BBL,ANHEUSER-BUSCH,WICKED WEED,WW COASTLOVE,1/2BBL,1/2 BBL,,,BEER,0,0,20200227,0
Active,64102,WW FREAKNATURE 24/16 CAN,ANHEUSER-BUSCH,WICKED WEED,WW FREAKNATURE,24/16 CAN,24/16,,WICKED WEED FREAK OF NATURE SIXTEEN OUNCE CAN,BEER,41,5,20231102,21
Active,64103,WW FREAKNATURE 4/6 CAN,ANHEUSER-BUSCH,WICKED WEED,WW FREAKNATURE,4/6 CAN,24/12,,WW FREAK 6 PACK CANS,BEER,71,5,20231025,63
Active,64104,WW FREAKNATURE 2/12 C,ANHEUSER-BUSCH,WICKED WEED,WW FREAKNATURE,2/12 C,24/12,,WW FREAK 12 PACK CANS,BEER,4,2,20231102,21
Active,64112,WW DANK PINAPL 4/6 CAN,ANHEUSER-BUSCH,WICKED WEED,WW DANK PINAPL,4/6 CAN,24/12,,WW DR DANK PINEAPPLE SIX PACK CANS,BEER,24,4,20231017,162
Active,64117,WW DANK PINAPL 1/2BBL,ANHEUSER-BUSCH,WICKED WEED,WW DANK PINAPL,1/2BBL,1/2 BBL,,,BEER,0,0,0,0
Active,64119,WW DANK PINAPL 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW DANK PINAPL,1/6BBL,1/6 BBL,,WW DANK PINEAPPLE SIXTH BARREL,BEER,0,0,20230713,4
Active,64122,WW BA GLTYPLES 24/12 6/4 CAN,ANHEUSER-BUSCH,WICKED WEED,WW BA GLTYPLES,24/12 6/4 CAN,24/12,,WW BARREL AGED GUILTY PLEASURE 6/4 CAN,BEER,5,0,20221223,0
Restricted,64137,WW BURST RASP 1/2BBL,ANHEUSER-BUSCH,WICKED WEED,WW BURST RASP,1/2BBL,1/2 BBL,,,BEER,0,0,20190607,0
Active,64143,WW MILK&COOKIE 4/6C,ANHEUSER-BUSCH,WICKED WEED,WW MILK&COOKIE,4/6C,24/12,,WICKED WEED MILK & COOKIES SIX PACK CANS,BEER,4,16,20231102,0
Active,64144,WW MILK&COOKIE 2/12C,ANHEUSER-BUSCH,WICKED WEED,WW MILK&COOKIE,2/12C,24/12,,WICKED WEED MILK AND COOKIES TWELVE PACK CANS,BEER,13,0,20231030,0
Active,64149,WW MILK&COOKIE 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW MILK&COOKIE,1/6BBL,1/6 BBL,,,BEER,11,1,20231102,0
Active,64169,WW SILENCIO 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW SILENCIO,1/6BBL,1/6 BBL,,WICKED WEED SILENCIO SIXTH BARREL,BEER,0,0,20171229,0
Active,64179,WW CER MORTE 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW CER MORTE,1/6BBL,1/6 BBL,,WW CERISE MORTE SIXTH BARREL,BEER,0,0,20170612,0
Active,64199,WW NECTARE 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW NECTARE,1/6BBL,1/6 BBL,,WICKED WEED NECTARE SIXTH BARREL,BEER,0,0,20180524,0
Active,64209,WW COFE DRKAGE 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW COFE DRKAGE,1/6BBL,1/6 BBL,,,BEER,0,0,20211110,0
Active,64215,WW DRK STORMY 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW DRK STORMY,1/6BBL,1/6 BBL,,,BEER,0,0,20180831,0
Restricted,64222,WW DRDNKDAILY 4/6 CAN,ANHEUSER-BUSCH,WICKED WEED,WW DRDNKDAILY,4/6 CAN,2023-12-24 00:00:00,,WW DR DANK DAILY 4/6 CAN,BEER,0,0,20230327,0
Active,64230,WW DRDNKDAILY 1/2BBL,ANHEUSER-BUSCH,WICKED WEED,WW DRDNKDAILY,1/2BBL,1/2 BBL,,,BEER,0,0,20230215,0
Restricted,64231,WW CHEIN DFERM 24/12 6/4 BTLS,ANHEUSER-BUSCH,WICKED WEED,WW CHEIN DFERM,24/12 6/4 BTLS,24/12,,WW CHEIN DEFERM FOUR PACK BOTTLE,BEER,0,0,20200609,0
Restricted,64234,WW DANK IMPHAZ 24/16C,ANHEUSER-BUSCH,WICKED WEED,WW DANK IMPHAZ,24/16C,24/16,,WICKED WEED PASSIONFRUIT IMPERIAL HAZE CANS,BEER,0,0,20220826,0
Active,64235,WW CITRUS PASN 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW CITRUS PASN,1/6BBL,1/6 BBL,,WICKED WEED DOCTOR DANK CITRUS PASSION FRUIT 1/6BBL,BEER,0,0,0,0
Active,64239,WW CHEIN DFERM 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW CHEIN DFERM,1/6BBL,1/6 BBL,,,BEER,0,0,20200211,0
Restricted,64249,WW POMPOEN 1/6BBL,ANHEUSER-BUSCH,WICKED WEED,WW POMPOEN,1/6BBL,1/6 BBL,,WW POMPOEN SIXTH BARREL,BEER,0,0,20191115,0
